SessionId,Timestamps,ItemId
1,978300760,1193
1,978302109,661
1,978301968,914
1,978300275,3408
1,978824291,2355
1,978302268,1197
1,978302039,1287
1,978300719,2804
1,978302268,594
1,978301368,919
1,978824268,595
1,978301752,938
1,978302281,2398
1,978302124,2918
1,978301753,1035
1,978302188,2791
1,978824268,2687
1,978301777,2018
1,978301713,3105
1,978302039,2797
1,978302205,2321
1,978300760,720
1,978300055,1270
1,978824195,527
1,978300103,2340
1,978824351,48
1,978301953,1097
1,978300055,1721
1,978824139,1545
1,978824268,745
1,978824291,2294
1,978300019,3186
1,978824330,1566
1,978824268,588
1,978824330,1907
1,978824291,783
1,978300172,1836
1,978300055,1022
1,978302091,2762
1,978301777,150
1,978824268,1
1,978301590,1961
1,978301753,1962
1,978301570,2692
1,978300760,260
1,978301777,1028
1,978302205,1029
1,978300719,1207
1,978301619,2028
1,978302149,531
1,978302174,3114
1,978301398,608
1,978302091,1246
3,978298147,3421
3,978298430,1641
3,978297867,648
3,978298147,1394
3,978297068,3534
3,978298486,104
3,978297867,2735
3,978297600,1210
3,978297095,1431
3,978298486,3868
3,978298296,1079
3,978298147,2997
3,978297710,1615
3,978297600,1291
3,978298296,1259
3,978297757,653
3,978297600,2167
3,978297663,1580
3,978298201,3619
3,978297512,260
3,978297039,2858
3,978298103,3114
3,978297805,1049
3,978297663,1261
3,978297837,552
3,978297690,480
3,978298316,1265
3,978297396,1266
3,978297757,733
3,978297539,1196
3,978297439,590
3,978298430,2355
3,978297570,1197
3,978297570,1198
3,978297419,1378
3,978297018,593
3,978297419,1379
3,978298459,3552
3,978298166,1304
3,978298231,1270
3,978297777,2470
3,978297570,3168
3,978297837,2617
3,978297095,1961
3,978297419,3671
3,978297757,2006
3,978297539,2871
3,978297777,2115
3,978297068,1968
3,978298079,1136
3,978298504,2081
4,978294008,3468
4,978293924,1210
4,978294282,2951
4,978294260,1214
4,978294282,1036
4,978294199,260
4,978294230,2028
4,978294008,480
4,978294199,1196
4,978294199,1198
4,978294282,1954
4,978293964,1097
4,978294260,3418
4,978294260,3702
4,978294230,2366
4,978294199,1387
4,978294008,3527
4,978294230,1201
4,978294230,2692
4,978294230,2947
4,978294260,1240
6,978236670,2406
6,978236670,1101
6,978238371,3717
6,978237691,1030
6,978237570,1688
6,978237767,1035
6,978238195,3578
6,978237570,364
6,978236670,3501
6,978236075,3072
6,978237909,368
6,978237379,296
6,978237570,48
6,978238036,3074
6,978236771,1188
6,978238036,3508
6,978237511,588
6,978237008,1
6,978236219,1043
6,978236809,2858
6,978236383,377
6,978237232,590
6,978237511,595
6,978239019,597
6,978237909,383
6,978236975,2506
6,978236719,3524
6,978237570,1566
6,978238948,1569
6,978236122,2006
6,978236567,2081
6,978236975,2082
6,978237813,3600
6,978237767,3604
6,978236612,2802
6,978236219,3534
6,978238230,3536
6,978236219,1210
6,978238195,3753
6,978238036,3682
6,978237813,2017
6,978236519,3685
6,978237813,3610
6,978236519,1296
6,978237444,838
6,978238036,1007
6,978237767,1947
6,978237273,2966
6,978237909,266
6,978236383,17
6,978236567,3699
6,978236383,1441
6,978236670,1088
6,978236122,912
6,978237570,199
6,978237767,914
6,978238230,3408
6,978236876,1806
6,978238256,3624
6,978236670,2469
6,978236809,2396
6,978236567,2100
6,978236612,1959
6,978237034,2321
6,978237691,1380
6,978238851,920
6,978236876,569
6,978236567,1674
6,978238288,3565
6,978237767,1028
6,978237444,34
7,978234737,648
7,978234874,861
7,978234842,2916
7,978234737,3578
7,978234737,3793
7,978234786,1610
7,978234786,589
7,978234842,6
7,978234632,442
7,978234842,733
7,978234810,377
7,978234874,2353
7,978234632,1196
7,978234786,2571
7,978234874,380
7,978234737,1997
7,978234581,1270
7,978234786,457
7,978234874,1573
7,978234737,3753
7,978234898,3107
7,978234842,474
7,978234874,1722
7,978234874,3256
7,978234842,1580
7,978234786,110
7,978234659,1221
7,978234786,2028
7,978234607,480
7,978234874,349
7,978234810,3418
12,978220237,1252
12,978220273,3362
12,978220179,1193
12,978218949,1198
12,978220193,593
12,978218949,813
12,978218949,3897
12,978220237,2804
12,978220120,919
12,978220237,923
12,978218949,858
12,978218568,934
12,978220216,3658
12,978218568,1641
12,978220179,111
12,978218949,1221
12,978218916,3265
12,978218916,1303
12,978220120,1233
12,978218568,999
12,978218568,2616
12,978218568,3785
12,978220216,1247
14,978200924,3354
14,978200689,2997
14,978201280,1263
14,978200645,2572
14,978201317,2731
14,978200320,3033
14,978200300,2243
14,978200924,3623
14,978200645,2826
14,978200975,2686
14,978201003,2762
14,978200975,2692
14,978200689,2694
14,978200300,1968
